,wbcode,year,Democracy,Protest,Within,Credibility,Adverse,Flexibility,Regime,Violence,Transparency,Democracy.rfI,Protest.rfI,Within.rfI,Credibility.rfI,Adverse.rfI,Flexibility.rfI,Regime.rfI,Violence.rfI,Transparency.rfI
36,ABW,1990,,,,,,,,,,0.059281007,-0.222192428,-0.466619776,-0.654965839,-0.680938405,-0.096428331,-0.27555739,-0.030036571,-0.37138259
37,ABW,1991,,,,,,,,,,0.540924336,-0.20940669,-0.054521166,-0.683674941,1.069503181,0.007085805,-0.289139922,-0.135750863,-0.036377603
38,ABW,1992,,,,,,,,,,-0.320668678,-0.214419212,-0.295200504,-0.635073131,-0.19599997,-0.100045224,-0.273273346,-0.427950895,-0.292838546
39,ABW,1993,,,,,,,,,,0.489106464,-0.351558987,-0.017334772,3.160584185,0.46245028,-0.419269636,-0.487486131,-0.216536817,-0.066488607
40,ABW,1994,,,,,,,,,,0.788020626,-0.332653104,-0.03200189,1.466481313,0.717421909,-0.244380389,-0.362753967,-0.152392893,0.15820461
41,ABW,1995,,,,,,,,,,0.013720952,-0.234131113,-0.607612025,-0.670737529,-0.628717777,-0.072751046,-0.291129694,0.058736435,-0.301294736
42,ABW,1996,,,,,,,,,,0.390159923,-0.233297206,-0.578930007,-0.631604264,-0.805073341,-0.075018723,-0.257944484,-0.058723441,-0.263352644
43,ABW,1997,,,,,,,,,,0.88283367,-0.070386245,-0.43865393,0.009894739,-0.074427703,-0.100424364,-0.047757458,0.69759705,0.208631059
44,ABW,1998,,,,,,,,,,0.027442271,-0.213919312,0.2142746,1.001237449,-0.307948574,-0.207346101,-0.422456335,0.184332113,-0.569869026
45,ABW,1999,,,,,,,,,,-0.60265903,-0.208759531,-0.475556988,-0.612422402,0.159780225,-0.081263739,-0.31348426,-0.56697857,-0.007058027
46,ABW,2000,,,,,,,,,,0.337732785,-0.240283826,-0.484236456,-0.632488522,-0.668539545,-0.086384453,-0.211639581,-0.167988079,-0.384575451
47,ABW,2001,,,,,,,,,,0.34692111,-0.302402353,-0.026844171,1.429573658,-0.369059994,-0.306963783,-0.393238851,-0.344955662,-0.269624306
48,ABW,2002,,,,,,,,,,0.42678706,-0.208642015,0.440933012,-0.679972842,-0.314880802,-0.052574391,-0.198327726,0.032734465,-0.370479185
49,ABW,2003,,,,,,,,,,0.933430621,-0.247041783,-0.321221224,-0.632814903,0.468891372,0.033919032,-0.271052519,0.418998325,0.284384448
50,ABW,2004,,,,,,,,,,-1.371846625,-0.224685134,0.744146252,-0.622170179,-0.273194613,-0.027878545,-0.263614609,0.360407769,0.25541685
